reg_type,C,dataset,pipeline,nonzero_coefs,feature_count_after_preprocessing,training_time_s
L1,0.01,uci_seizure,A,5,20,7.301
L1,0.1,uci_seizure,A,16,20,6.319
L1,1.0,uci_seizure,A,20,20,19.022
L1,10.0,uci_seizure,A,20,20,15.584
L2,0.01,uci_seizure,A,20,20,12.806
L2,0.1,uci_seizure,A,20,20,19.25
L2,1.0,uci_seizure,A,20,20,13.867
L2,10.0,uci_seizure,A,20,20,12.498
L1,0.01,uci_seizure,B,22,39,0.219
L1,0.1,uci_seizure,B,36,39,0.222
L1,1.0,uci_seizure,B,39,39,0.125
L1,10.0,uci_seizure,B,39,39,0.136
L2,0.01,uci_seizure,B,39,39,0.074
L2,0.1,uci_seizure,B,39,39,0.07
L2,1.0,uci_seizure,B,39,39,0.076
L2,10.0,uci_seizure,B,39,39,0.086
L1,0.01,bonn_eeg,A,0,6,0.019
L1,0.1,bonn_eeg,A,4,6,0.017
L1,1.0,bonn_eeg,A,5,6,0.026
L1,10.0,bonn_eeg,A,5,6,0.048
L2,0.01,bonn_eeg,A,6,6,0.02
L2,0.1,bonn_eeg,A,6,6,0.022
L2,1.0,bonn_eeg,A,6,6,0.025
L2,10.0,bonn_eeg,A,6,6,0.024
L1,0.01,bonn_eeg,B,1,5,0.004
L1,0.1,bonn_eeg,B,4,5,0.004
L1,1.0,bonn_eeg,B,5,5,0.008
L1,10.0,bonn_eeg,B,5,5,0.014
L2,0.01,bonn_eeg,B,5,5,0.006
L2,0.1,bonn_eeg,B,5,5,0.007
L2,1.0,bonn_eeg,B,5,5,0.005
L2,10.0,bonn_eeg,B,5,5,0.008
L1,0.01,bonn_eeg,C,15,78,0.867
L1,0.1,bonn_eeg,C,55,78,0.805
L1,1.0,bonn_eeg,C,73,78,1.844
L1,10.0,bonn_eeg,C,78,78,1.471
L2,0.01,bonn_eeg,C,78,78,0.468
L2,0.1,bonn_eeg,C,78,78,0.478
L2,1.0,bonn_eeg,C,78,78,0.552
L2,10.0,bonn_eeg,C,78,78,1.216
L1,0.01,eeg_eye_state,A,5,14,1.424
L1,0.1,eeg_eye_state,A,12,14,2.077
L1,1.0,eeg_eye_state,A,13,14,2.808
L1,10.0,eeg_eye_state,A,14,14,5.578
L2,0.01,eeg_eye_state,A,14,14,0.483
L2,0.1,eeg_eye_state,A,14,14,0.504
L2,1.0,eeg_eye_state,A,14,14,0.495
L2,10.0,eeg_eye_state,A,14,14,0.515
L1,0.01,eeg_eye_state,B,3,5,1.544
L1,0.1,eeg_eye_state,B,4,5,0.72
L1,1.0,eeg_eye_state,B,5,5,0.542
L1,10.0,eeg_eye_state,B,5,5,2.008
L2,0.01,eeg_eye_state,B,5,5,0.079
L2,0.1,eeg_eye_state,B,5,5,0.067
L2,1.0,eeg_eye_state,B,5,5,0.101
L2,10.0,eeg_eye_state,B,5,5,0.11
