Regularization,C,Dataset,Pipeline,pr_auc_mean,pr_auc_std,f1_mean,f1_std
L1,0.01,uci_seizure,A,0.47170593185867515,0.01797084389317065,0.0,0.0
L1,0.1,uci_seizure,A,0.48248783829087155,0.02693207176273394,0.025675043743227266,0.012242690422624264
L1,1.0,uci_seizure,A,0.4698067885835184,0.024760903461699988,0.039296361360455515,0.014159600021525843
L1,10.0,uci_seizure,A,0.46410085718789124,0.026329300506427622,0.043436882560701794,0.0158498803785334
L2,0.01,uci_seizure,A,0.4857398701584514,0.032265307830558025,0.028852209586068638,0.011841921993247224
L2,0.1,uci_seizure,A,0.4787146584100704,0.02494775361303588,0.03930978957659017,0.015016646864078867
L2,1.0,uci_seizure,A,0.4688493514087163,0.024812249274958915,0.04139808727818599,0.012911332304105275
L2,10.0,uci_seizure,A,0.4644022946478234,0.026627493006742713,0.043436882560701794,0.0158498803785334
ElasticNet(l1=0.3),0.01,uci_seizure,A,0.4839651805780007,0.026408691501626464,0.011807871429920732,0.012407761066209711
ElasticNet(l1=0.5),0.01,uci_seizure,A,0.4790774735866049,0.019887145463847983,0.005396663509871057,0.006823543352270011
ElasticNet(l1=0.7),0.01,uci_seizure,A,0.4753075232147582,0.016797191358999066,0.004318512187817296,0.006287753560111064
ElasticNet(l1=0.3),0.1,uci_seizure,A,0.4811259497677686,0.02593996951108372,0.03617211424085623,0.014945314378339201
ElasticNet(l1=0.5),0.1,uci_seizure,A,0.48192580004923186,0.02656729860996948,0.03300625197349416,0.016036243043234755
ElasticNet(l1=0.7),0.1,uci_seizure,A,0.4821870521467909,0.026551218204983816,0.027779870400521905,0.013115816644744836
ElasticNet(l1=0.3),1.0,uci_seizure,A,0.46915643019918185,0.02449645008939857,0.042420167544815625,0.014314857772843423
ElasticNet(l1=0.5),1.0,uci_seizure,A,0.4695262396967735,0.02453486584857541,0.041376195913609956,0.014456725551625802
ElasticNet(l1=0.7),1.0,uci_seizure,A,0.46964572978346314,0.024551772110858076,0.039296361360455515,0.014159600021525843
ElasticNet(l1=0.3),10.0,uci_seizure,A,0.46426253245789334,0.026257424971111422,0.043436882560701794,0.0158498803785334
ElasticNet(l1=0.5),10.0,uci_seizure,A,0.46424681667928924,0.02624835952227064,0.043436882560701794,0.0158498803785334
ElasticNet(l1=0.7),10.0,uci_seizure,A,0.46417899671238433,0.02626248856236528,0.043436882560701794,0.0158498803785334
L1,0.01,uci_seizure,B,0.4798577204600538,0.02074796569415742,0.021436700258749563,0.01166089730814909
L1,0.1,uci_seizure,B,0.48178293512994425,0.011599769834395826,0.09310356688694635,0.014968435454740798
L1,1.0,uci_seizure,B,0.4805544625881885,0.010764315206837117,0.10289582288109533,0.013898303265815672
L1,10.0,uci_seizure,B,0.480564138376978,0.010727361073624696,0.10485167054759414,0.013396019658613478
L2,0.01,uci_seizure,B,0.4800638085052757,0.011058045941577149,0.098008708735369,0.012854106943115758
L2,0.1,uci_seizure,B,0.4805056373182133,0.010753949235946697,0.10289582288109533,0.013898303265815672
L2,1.0,uci_seizure,B,0.4803908800827562,0.010788472247671503,0.10485167054759414,0.013396019658613478
L2,10.0,uci_seizure,B,0.48037628650102937,0.010798529492121551,0.10485167054759414,0.013396019658613478
ElasticNet(l1=0.3),0.01,uci_seizure,B,0.4828569601766957,0.013891326111056153,0.06410925764577187,0.008780596780511024
ElasticNet(l1=0.5),0.01,uci_seizure,B,0.4830277738051447,0.016483130560744335,0.04873650793650793,0.0060586556517133764
ElasticNet(l1=0.7),0.01,uci_seizure,B,0.4835065084010811,0.01947667865260798,0.040376098345781666,0.01348079116962114
ElasticNet(l1=0.3),0.1,uci_seizure,B,0.48075842957252535,0.011030372814269473,0.09700259825459583,0.014452579621453882
ElasticNet(l1=0.5),0.1,uci_seizure,B,0.48107052825616964,0.01112258400849768,0.09700259825459583,0.014452579621453882
ElasticNet(l1=0.7),0.1,uci_seizure,B,0.48128000752952876,0.011248677735008986,0.09606247753454882,0.01484403177285956
ElasticNet(l1=0.3),1.0,uci_seizure,B,0.4805671678648068,0.010714007320334928,0.10387639691443484,0.013310791976781018
ElasticNet(l1=0.5),1.0,uci_seizure,B,0.48053462056117535,0.010747474942720606,0.10289582288109533,0.013898303265815672
ElasticNet(l1=0.7),1.0,uci_seizure,B,0.4805273813631297,0.01077191967185405,0.10289582288109533,0.013898303265815672
ElasticNet(l1=0.3),10.0,uci_seizure,B,0.48041786200408315,0.010798271881612037,0.10485167054759414,0.013396019658613478
